고유번호,문법번호,영어예문,번역문,질문,관련문,참조문,출처
16,10102010000,"Next, there is reading for information and knowledge.",다음으로는 정보와 지식을 위한 독서가 있다.,"""there is reading""이 [독서가 있다]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
17,10102010000,There is a paper on the table.,테이블 위에 신문이 있다.,"""paper""가 [신문, 논문]으로 번역되었습니까?",,,문법책-Hornby
18,10102010000,The suns energy can be used in your own house for heating and cooking.,태양 에너지는 난방과 요리를 위해서 당신 자신의 집에서 이용될 수 있다.,"""heating and cooking""이 [난방과 요리]로 보통명사로 번역이 되었습니까?",,,문법책-맨투맨
19,10102020000,Martin drops Ramsays glass on the floor.,마틴은 램지의 잔을 마루에 떨어뜨린다.,"""glass""가 [잔]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
20,10102030000,But this natural liberty of private thinking is of little value.,그러나 이러한 개인적인 사고의 천부적인 자유는 별로 가치가 없다.,"liberty[자유], thinking[사고]와 같이 눈에 보이지 않는 추상적인 것의 이름으로 번역되었습니까?",,,문법책-맨투맨
21,10102040000,Admiral Yi Sun-shin was a man of honor.,이순신 장군은 신의를 지키는 사람이었다.,"""Admiral Yi Sun-shin""가 [이순신 장군]으로 고유명사로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
22,10102040000,I wanted to go to Kings Cross Station to catch a train.,나는 기차를 타기 위해서 킹스 크로스 역까지 가기를 원했거든요.,"""King's Cross Station""이 [킹스크로스역]이라고 번역되었습니까?",,,영어교과서-고교ii-a-1
23,10102040000,That girl was Irene Crane.,그 소녀는 아이린 크레인이었다.,"""Irene Crane""이 [아이린 크레인]으로 고유명사로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
24,10102040000,He was reading The Times.,그는 타임즈지를 읽고 있었다.,"“The Times""가 고유명사라고 인정되며, [타임즈 誌]로 번역되었습니까?",,,문법책-Hornby
25,10102040000,Bush doesn't like this.,부시는 이것을 좋아하지 않는다.,"""Bush""가 [부시]로, 고유명사로 번역되었습니까?",,,문법책-Hornby
26,10102040000,His name is John R. Smith.,그의 이름은 죤 R.스미스이다.,"""John R. Smith""가 [죤R.스미스]로 번역이 되었습니까?",,,문법책-Hornby
27,10102040000,George Washington was very punctual.,조지 워싱턴은 시간을 매우 잘 지켰다.,"""George Washington""이 [조지워싱턴]와 같이  사람이름을 나타내는 「고유명사」로 번역되었습니까?",,,문법책-맨투맨
28,10102050000,This book is Marys.,이 책은 메리의 것이다.,"“Mary's""가 [메리의 것]으로 번역되었습니까?",,,문법책-Hornby
29,10102050000,I read Dickens book.,나는 디킨즈의 책을 읽었다.,"""Dickens' book""이 [디킨즈의 책]으로 번역되었습니까?",,,문법책-Hornby
30,10102050000,I called at the teacher of Englishs house.,나는 영어 선생님 집을 방문하였다.,"""the teacher of English""가 [영어 선생님]으로, 한 단어로 번역되었습니까?",,,문법책-Hornby
31,10102050000,It was Grandma and Grandpas 50th wedding anniversary.,할머니와 할아버지의 50주년 결혼 기념일이었다.,"""Grandma and Grandpa's 50th wedding anniversary""가 [할머니와 할아버지의 50주년 결혼 기념일]로 번역되었습니까?",,,문법책-맨투맨
32,10102060000,I found some rat nests.,나는 쥐의 집을 몇 개인가 발견했다.,"“rat house""가 [쥐집]과 같이, [쥐의집]을 의미하도록 번역하였습니까?",,,문법책-Hornby
33,10102060000,Watch imports were denied such duty-free treatment.,시계상품의 수입은 무관세 취급품에서 제외되었다.,"“Watch imports ""가 [시계상품의 수입]과의 의미로 번역하였습니까?",,,문법책-Hornby
34,10102060000,Look at the computer display.,컴퓨터의 진열을 보세요,"“computer display""가 [컴퓨터의 진열]을 나타내도록 번역하였습니까?",,,문법책-Hornby
35,10102060000,Communication is a basic human activity.,통신은 인간의 기본적인 활동이다.,"""basic human activity""가 [인간의 기본적인 활동]과 같이 「의」를 삽입하여 번역하였습니까?",,,문법책-맨투맨
36,10102070000,She dreamed a happy dream.,그녀는 유쾌한 꿈을 꾸었다.,"“dream a happy dream""이 [유쾌한 꿈을 꾸다]와 같이 [꿈]이 중복되지 않고 번역되었습니까?",,,문법책-Hornby
37,10102070000,She smiled a warm smile at me.,그녀는 나에게 따뜻한 미소를 지었다.,"“smile a warm smile ""이 [따뜻한 미소를 지다]와 같이 [미소]가 중복되지 않고 번역되었습니까?",,,문법책-Hornby
38,10102070000,He lived his spiritual life without any communion with others.,그는 다른 사람들과 아무런 친교도 없이 자기의 정신적인 삶을 영위했다.,"""He lived his spiritual life""가 [정신적인 삶을 영위하다]와 같이 「삶」이 중복되지 않고 번역되었습니까?",,,문법책-맨투맨
39,10102080000,"At last he found somebody - Dr. Akram, a young Pakistani doctor.","마침내 그는 사람을 구했는데, 아크람이라는 젊은 파키스탄인 의사였다.","""Dr. Akram, a young Pakistani doctor""가 [아크람이라는 의사]와 같이 동격으로 번역되었습니까?",,,영어교과서-고교ii-a-1
40,10102080000,August 15 is an unforgettable day to us Koreans.,8월 15일은 우리 한국인에게는 잊을 수 없는 날이다.,"""us Korean""이 [우리 한국인]으로 동격으로 번역되었습니까?",,,영어교과서-고교ii-a-1
41,10102080000,"Yesterday, I met Mr. Smith, chairman of the committee.",어제 나는 위원회 의장인 스미스씨를 만났다.,[스미스씨]와 [위원회 의장]이 동일인물로 번역되었습니까?,,,문법책-Hornby
42,10102080000,You can visit many time-honored temples in the City of Seoul.,당신은 서울시에서 많은 유서 깊은 사원을 방문할 수 있습니다.,"""City of Seoul""가 [서울시]로 번역되었습니까?",,,문법책-Hornby
43,10102080000,"The article appeared on Fortune, a magazine published in America.",그 기사는 미국에서 발행된 잡지인  Fortune 에 실렸다.,"""a magazine published in America"" 와 ""Fortune""이 동일물로 번역되었습니까?",,,문법책-Hornby
44,10102090000,Her family are all very well.,그녀의 가족들은 모두 아주 건강하다.,"""Her family""가 [그녀의 가족들]로, ""family""가 복수의 인간으로 구성된다는 것을 의미하도록 번역되었습니까?",,,문법책-Hornby
45,10102090000,The committee has prepared a report.,그 위원회는 보고서를 작성했다.,"""The committee""가 [그 위원회]는과 같이 집단, 단체로 번역이 되었습니까?",,,문법책-성문기본
46,10102090000,The committee do not agree about the report.,위원들은 그 보고에 대해 의견이 같지 않다.,"""The committee""가 [위원들]과 같이 단체를 구성하고 있는 개체를 표현하도록 번역이 되었습니까?",,,문법책-성문기본
47,10103010100,They speak English in New Zealand.,뉴질랜드에서는 영어를 말한다.,"인칭대명사 “they""가 생략되어 번역되었습니까?",,,문법책-Hornby
48,10103010100,We had a lot of snow last year.,작년에 많은 눈이 내렸다.,"인칭대명사 “we""가 생략되어 번역되었습니까?",,,문법책-Hornby
49,10103010100,Would you please show me your identification card?,신분증명서를 보여주시겠습니까?,"인칭대명사 ""you"", ""me"", ""your""가 생략되어 번역되었습니까?",,,문법책-Hornby
50,10103010200,She looks forward to his coming.,그녀는 그가 오는 것을 기대하고 있다.,"""his coming""이 [그가 오는]으로, 의미상의 주어가 되도록 번역되었습니까?",,,문법책-Hornby
51,10103010200,This is my own house.,이것은 내 자신의 집이다.,"""my own""이 [내 자신]으로, 소유의 의미를 강조하여 번역되었습니까?",,,문법책-Hornby
52,10103010200,I thought of his being guilty.,나는 그가 유죄라는 것을 생각했다.,"“his being guilty""가 [그가 유죄라는 것]으로 번역되었습니까?",,,문법책-Hornby
53,10103010200,The party went to his rescue.,그 당원은 그를 구조하기 위하여 갔다.,"""his rescue""이 [그를 구조하다]로, 의미상의 목적어가 되도록 번역되었습니까?",,,문법책-Hornby
54,10103010200,His radio was broken.,그의 라디오가 부서졌던 것이다.,"""his radio""가 [그의 라디오]로 「소유의 의미」를 강조하도록 번역되었습니까?",,,문법책-맨투맨
55,10103010300,"Is this yours, sir?","선생님, 이것이 당신의 것입니까?","""yours""가 [당신의 것]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
56,10103010300,A friend of mine visited me yesterday.,내 친구가 어제 찾아왔다.,"""a friend of mine""이 [내 친구]로 번역되었습니까?",,,문법책-Hornby
57,10103010300,This exercise of yours is free from mistakes.,너의 이 실습은 실수가 없다.,"""This exercise of yours ""가 [너의 이 실습]로 번역되었습니까?",,,문법책-Hornby
58,10103010300,Bring me that book of hers.,그녀의 책을 나에게 주세요.,"""hers""가 [그녀의 책]과 같이「소유의 의미」로 번역되었습니까?",,,문법책-맨투맨
59,10103010400,He proved himself to be innocent.,그는 자신이 무죄라는 것을 증명했다.,"""himself""가 「자신이」로, TO부정사의 주어를 나타내는 재귀대명사로 번역되었습니까?",,,문법책-Hornby
60,10103010400,I carried the box myself.,나는 스스로 그 상자를 날랐다.,"""myself""가 [스스로]로와 같이 해석이 명시되어 번역되었습니까?",,,문법책-Hornby
61,10103010400,This machine works by itself.,이 기계는 저절로 작동한다.,"""by itself""가 [ 저절로 ]로 번역되었습니까?",,,문법책-Hornby
62,10103010400,And then I order the same for myself.,그리고 나서 제 자신을 위해서 그와 똑같은 식사를 주문합니다.,"""for myself""가 [나 자신을 위해서]와 같이 「재귀대명사」가 「나 자신」으로 번역되었습니까?",,,문법책-맨투맨
63,10103010500,George and Mary love each other.,죠지와 메리는 서로 사랑하고 있다.,"""each other""가 [서로, 함께 ∼하다]로, 상호 동작을 나타내도록 번역되었습니까?",,,문법책-Hornby
64,10103010500,We sent presents to one another.,우리는 서로에게 선물을 보냈다.," ""one another""가 [서로, 함께 ∼하다]로, 상호 동작을 나타내도록 번역되었습니까?",,,문법책-Hornby
65,10103010500,To survive a nuclear war we should tolerate each other.,핵전쟁에서 살아 남기 위해서는 우리는 서로 참아야 한다.,"""each other""가 [서로~하다]로 「상호동작」을 나타내도록 번역되었습니까?",,,문법책-맨투맨
66,10103020000,At last it was September 17.,드디어 9월 17일이 되었다.,"[9월 17일이 되었다]로 비인칭주어 ""it""이 생략되어 번역되었습니까?",,,영어교과서-고교ii-a-1
67,10103020000,How goes it with you today?,오늘은 어떠니?,"""it"" 이 [상황, 경기, 모습]을 나타내며 ""it""이 생략되어 번역되었습니까?",,,문법책-Hornby
68,10103020000,It is fine today.,오늘 날씨가 좋다.,"""It is fine today""가 [오늘 날씨가 좋다]와 같이 it이 생략되어 번역이 되었습니까?",,,문법책-성문기본
69,10103020000,It was sunset when we arrived.,"우리가 도착했을 때, 일몰이었다.","비인칭대명사 ""it""가 생략되어 번역되었습니까?",,,문법책-Hornby
70,10103030100,"""That will leave us shorthended.""",그러면 우리 일손이 모자라게 될 텐데.,"""that""이 어떤 상황을 지시하는 것으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
71,10103030100,This is a great day for me.,오늘은 나에게는 대단히 기분 좋은 날이오.,"""this""가 [오늘]처럼 번역이 되었습니까?",,,영어교과서-고교ii-a-1
72,10103030100,There are those who don't have common sense.,상식을 갖고 있지 않은 사람들이 있다.,"""those""가 [사람들]로 사람들을 나타내도록 번역되었습니까?",,,문법책-Hornby
73,10103030100,"Work and play are both necessary to health; this gives us rest, and that give us energy.","일하는 것과 노는 것은 둘다 건강에 필요하다. 왜냐하면 후자는 우리에게 휴식을 주고, 전자는 우리에게 활력을 주기 때문이다.","""this"" 와 ""that""이  [전자]와[후자]로, 각각 앞에 나온  ""work""와 ""play""를 의미하도록  번역이 되었습니까?",,,문법책-맨투맨
74,10103030100,Youll be in trouble before you know it.,당신이 그것을 알기전에 당신은 곤란에 빠질 것이다.,"""it""이 [그것]으로 앞에 언급된 무엇을 지시하도록 번역되었습니까?",,,문법책-맨투맨
75,10103030200,I don't think so.,나는 그렇게 생각하지 않아요.,"""so""가 [그렇게]라고 번역되었습니까?",,,영어교과서-고교ii-a-1
76,10103030200,"If you will not do so, neither will I.",네가 그렇게 하지 않으면 나도 역시 안 하겠다.,""" you will not do so""가 [니가 그렇게 하다]와 같이 ""so""가 앞에 나온 것을 지시하는 지시대명사로 번역이 되었습니까?",,,문법책-성문기본
77,10103030200,"""So do I,"" Jeff said, looking past Burke.","나도 그래, 하고 제프는 버크를 지나쳐 바라보면서 말했다.","""so do I ""가 [나도 그래]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
78,10103040100,One must keep the rules.,사람은 규칙을 지켜야 한다.,"""one""이 사람을 나타내도록 번역되었습니까?",,,문법책-Hornby
79,10103040100,There are good lies and bad ones.,좋은 거짓말과 나쁜 거짓말이 있다.,"bad ones가 [나쁜 거짓말]로, 대명사 ""one""의 지시물을 동정(同定)하여 번역되었습니까?",,,문법책-Hornby
80,10103040200,None of the books were interesting.,어느 책도 재미있지 않았다.,"""none of the books""이 [(어느∼도∼아니다)/∼의 어느 것도 ∼아니다)]와 같이 번역되었습니까?",,,문법책-Hornby
81,10103040200,He is none the wiser for his university education.,그는 대학교육을 받았다고 하기에는 현명하지 못하다.,"""none the wiser""가 [현명하지 못하다]로 번역되었습니까?",,,문법책-Hornby
82,10103040200,The price is none too high.,그 가격은 결코 비싸지 않다.," [none too high]가 ""조금도 비싸지 않다""의 의미로 번역되었는가?",,,문법책-Hornby
83,10103040300,Burke said nothing.,버크는 아무 말도 하지 않았다.,문장이 [아무말도 하지않았다]로 부정으로 번역되었습니까?,,,영어교과서-고교ii-a-1
84,10103040300,But nobody wanted to go to the Pakistani doctor.,그러나 아무도 그 파키스탄인 의사에게 가기를 원치 않았다.,[아무도 ~ 원하지 않았다]로 문장전체가 부정으로 번역되었습니까?,,,영어교과서-고교ii-a-1
85,10103040300,His machines had wings or propellers - or both.,"그의 기계는 날개나 프로펠러, 또는 이 두 가지를 다 갖고 있었다.","""both""가 [두가지 다]라고 번역되었습니까?",,,영어교과서-고교ii-a-1
86,10103040300,Some of you may say that this is the only reason for reading.,여러분 중에는 이것이 독서를 하는 유일한 이유라고 말하는 사람이 있을런지 모른다.,"""some of you""가 [여러분 중 몇몇]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
87,10103050000,The wisest man does not know everything.,아무리 현명한 사람이라도 모든 것을 다 알 수는 없다.,"""does not know everything""가 [모든 것을 다 알 수는 없다]와 같이 [일부만을 안다]는 의미로 번역이 되었습니까?",,,문법책-성문기본
88,10103060000,"""I remember them all,"" I said.",그들 모두를 기억하지라고 나는 말했다.,"""them all""이 [그들 모두]와 같이 동격으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
89,10103060000,They all bend rays of light.,그것들 모두는 광선을 굴절시킨다.,"""they all""이 [그것(그들) 모두]로 동격으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
90,10104010100,I'm glad to be out of that taxi alive.,그 택시에서 살아나와서 기쁘군요.,"""alive""가 [살아서]라고 서술적으로 번역되었습니까?",,,영어교과서-고교ii-a-1
91,10104010100,The king was present.,국왕이 참석했다.,"""The king was present.""가 [국왕이 참석했다]와 같이 번역이 되었습니까?",,,문법책-성문기본
92,10104010200,"""Has he said anything important yet?""",무슨 중요한 얘기를 했니?,"""anything important""가 [어떤 중요한 것]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
93,10104010200,Alone I looked down at the Japanese at my feet.,나는 혼자서 나의 발치에 있는 일본인을 내려다 보았다.,"""alone I""가 [나 혼자서]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
94,10104010200,There was something wrong with the name on them.,그 우표에는 이름에 어딘가 잘못된 것이 있었습니다.,"""something wrong""이 [어떤 잘못된 것]으로 ""wrong""이 후위에서 수식하도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
95,10104010200,He had a box full of toys.,그는 장난감이 가득 든 상자를 가지고 있었다.,"""a box full of toys""가 [장난감이 가득 든 상자]로, ""full of toys""가 ""a box""를 수식하는 형태로 번역되었습니까?",,,문법책-Hornby
96,10104010200,I met a boy seven years old.,나는 7살짜리 소년을 만났다.,"""a boy seven years old""가 [ 7살짜리 소년]로, ""seven years old""가 ""a boy""를 수식하는 형태로 번역되었습니까?",,,문법책-Hornby
97,10104010200,There is nothing new under the sun.,이세상에 새로운 것은 없다.,"""nothing new""가 [새로운 것]과 같이 ""new""가 ""nothing""을 수식하도록 번역이 되었습니까?",,,문법책-성문기본
98,10104010300,The judge will pass the judgement on the accused.,재판관은 피고인을 판결할 것입니다.," ""the accused""이 피고인으로 번역되었습니까?",,,문법책-Hornby
99,10104010300,The rich are not always happy.,부자라고 항상 행복한 것은 아니다.,"""The rich""가 [부자]와 같이 보통명사로 번역이 되었습니까?",,,문법책-성문기본
100,10104010300,"The true, the good and the beautiful were the ideals of the Greeks.","진,선,미는 그리이스 사람의 이상이었다.","""The true, the good and the beautiful""이 [진,선,미]와 같이 추상명사로 번역이 되었습니까?",,,문법책-성문기본
101,10104010400,The poem is set in such a simple situation.,이 시는 그러한 단순한 상황을 배경으로 한 것이다.,"""such a""가 [그러한]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
102,10104010400,"Yes, it's the lost stamp.","예, 잃어버렸던 우표입니다.","""lost""가 [잃어버린]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
103,10104010400,The present government started in September.,현 정부는 9월에 출범하였다.,"“present""가 [현재의]라는 의미로 번역되었습니까?",,,문법책-Hornby
104,10104010400,The sum total was just $10.,총 합계가 10달러이다.,"""sum total"" 가 [총 합계]로 ""total""이 ""sum""을 수식하는 형태로 번역되었습니까?",,,문법책-Hornby
105,10104010400,We like ten mile runs.,우리들은 10마일 경주를 좋아한다.,[10마일 경주]로 번역되었습니까?,,,문법책-Hornby
106,10104020100,Children are easy to please.,아이들을 기쁘게 하는 것은 간단하다.,[기쁘게 하다]의 목적어가 [아이들]이 되도록 번역되었습니까?,,,문법책-Hornby
107,10104020100,Children are eager to please their teacher.,아이들은 그들의 선생님을 기쁘게 해주고 싶어한다.,[선생님을 기쁘게 하는(것을 바라고 있다)]는 의미로 번역되었습니까?,,,문법책-Hornby
108,10104020100,She is certain to win.,그녀는 틀림없이 이길 것이다.,"""is certain to~""가 [이길 것을 (화자가) 확신하고 있다]로 번역되었습니까?",,,문법책-Hornby
109,10104020100,He is wrong to leave.,"떠나다니, 그는 잘못을 저지르고 있다.","""is wrong to~""가 [떠나는 것은 그의 잘못이다]라고 하는 의미로 번역되었습니까?",,,문법책-Hornby
110,10104020200,He is afraid of being bitten by the dog.,그는 그 개에게 물릴 것을 두려워하고 있다.,"""be afraid of~""가 [물릴 것을 두려워하고 있다]라고 번역되었습니까?",,,문법책-Hornby
111,10104020200,He was shocked at her marriage.,그는 그녀의 결혼소식에 충격을 받았다.,"""be shocked at~""의 형용사와 전치사로 결합된 형태가 [~에 충격을 받다]라고 번역되었는가?",,,문법책-Hornby
112,10104020200,I said I'm proud of you.,난 당신이 자랑스럽다고 말했다.,"""be proud of you""가 [당신이 자랑스럽다]라는 의미로 번역이 되었습니까?",,,문법책-맨투맨
113,10104020300,He is busy searching for a key.,그는 열쇠를 찾는데 바쁘다.,[열쇠를 찾는데 바쁘다]라고 번역되었습니까?,,,문법책-Hornby
114,10104020400,I am not aware of how much you earned.,나는 당신이 어느 정도 돈을 벌었었는지 모른다.,[어는 정도 돈을 벌었는지를]이라고 번역되었습니까?,,,문법책-Hornby
115,10104020400,He must be mad that he should cry out at this time of night.,밤 늦은 이런 시각에 울부짖다니 그는 미쳤음에 틀림없다.,"""He must be mad that ~""이 [~하다니 미쳤음에 틀림없다]와 같이 ""mad""가 이끄는 절이 이유 판단의 근거로 번역이 되었습니까?",,,문법책-성문기본
116,10104020400,"She got better, but the doctor was glad that I telephoned.","그녀는 나았지만, 의사는 제가 전화를 해서 다행이었다고 했습니다.","""was glad that I telephoned""이 [전화했다는 것을 기쁘게 생각했다]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
117,10104030100,Now various people made longer and longer flights.,그리고 나서 많은 사람들이 점점 더 긴 비행을 했다.,"""longer and longer""가 [점점 더 긴]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
118,10104030100,Tom is taller than John.,톰은 죤보다 키가 크다.,[톰은 죤보다 키가 크다]라고 번역되었습니까?,,,문법책-Hornby
119,10104030100,The new telephone is more troublesome than convenient.,그 새 전화는 편리하다기보다 번거롭다.,"[전화는 편리하다기보다 번거롭다]로""troublesome""과 ""convenient""가 함께 ""telephone""의 성질로 해석되며, 또 그들이 비교되는 형태로 번역되었습니까?",,,문법책-Hornby
120,10104030100,The boys feel better now.,소년들은 지금은 훨씬 기분이 좋아졌다.,"[지금은 훨씬 기분이 좋아졌다]로, 지금 이외의 시점(과거)과 비교해 좋아졌다고 하는 의미를 포함한 형태로 번역되었습니까?",,,문법책-Hornby
121,10104030100,Burke Blairs not much older than I am.,버크 블레어는 저보다 나이가 별로 많지도 않다.,"""older""가 [나이가 더 많은]으로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
122,10104030200,It was the biggest project imaginable.,그것은 생각할 수 있는 범위 내에서 가장 큰 프로젝트였다.,"“the biggest""가 [가장큰]으로, ”big""의 최상급으로 번역되었습니까?",,,문법책-Hornby
123,10104040000,I see some stamps on the desk.,책상 위에 우표가 몇 개인가 보인다.,"“some""이 [몇 개]와 같이 수를 나타내는 표현으로 번역되었습니까?",,,문법책-Hornby
124,10104040000,I have little money.,나는 돈을 거의 가지고 있지 않다.,"""little""이 [거의 없다]로, 부정적으로 번역되었습니까?",,,문법책-Hornby
125,10104040000,I don't have any authority.,나는 조금도 권한을 가지고 있지 않다.,"""any""가 [조금도]로, ""not""과 관련된 형태로 번역되었습니까?",,,문법책-Hornby
126,10104040000,"It was a lonely place, and she felt a little timid.",그곳은 인적이 드문 곳이어서 그녀는 약간 겁이 났다.,"""felt a little timid""이 [약간 겁이 나다]로, 「수량형용사 」""a little""이 [약간]으로 번역이 되었습니까?",,,문법책-맨투맨
127,10104040000,You have quite a lot of time.,당신에게는 충분한 많은 시간이 있는 것이다.,"""quite a lot of time""이[충분한 많은 시간]으로, ""a lot of""가 [많은]의 의미로 번역이 되었습니까?",,,문법책-맨투맨
128,10104040000,Only a few  generations have been granted  the role of defending  freedom.,단지 몇 세대만이 자유를 수호할 역할을 부여받아 왔습니다.,"""a few  generations""이 [몇세대]로 ""afew""가 [몇몇]으로 번역이 되었습니까?",,,문법책-맨투맨
129,10104050000,It is a big red planet.,그것은 크고 붉은색의 혹성이다.,"[크고 붉은색의 혹성이다]로, ""big""과 ""red""가 함께 혹성을 형용하는 형태로 번역되었습니까?",,,문법책-Hornby
130,10104050000,The United States has a major racial problem on its hands.,미국은 그네들 수중에 다루어야 할 중대한 인종 문제를 지니고 있다.,"""a major racial problem""이 [중요한 인종문제]로 번역이 되었습니까?",,,문법책-맨투맨
131,10104050000,His shoes and clothing were wet and icy cold.,그의 구두와 옷은 젖어 있었고 얼음처럼 차가웠어.," ""be wet and icy cold""가 [젖어 있었고 얼음처럼 차가웠어]로 두형용사가 모두 「서술적」으로 번역이 되었습니까?",,,문법책-맨투맨
132,10104050000,A true sponge is really the dried outer skeleton of a sea animal.,진짜 스폰지는 사실은 어느 바다 동물의 건조된 외부의 해골이다.," ""the dried outer skeleton of a sea animal"" [ 바다 동물의 건조된 외부의 해골]로 ""the dried와 outer"" [해골]을 수식하는 형태로 번역이 되었습니까?",,,문법책-맨투맨
133,10104050000,There were beautiful red curtains on the wall.,벽에 아름다운 붉은 커튼이 쳐져 있었다.," ""beautiful red curtains""이 [아름다운 붉은 커튼]의 으로  번역이 되었습니까?",,,문법책-맨투맨
134,10104060000,It is clear where he goes.,그가 어디에 가는가 하는 것은 명확하다.,[어디에 가는가]가 [분명한] 내용으로 번역되었습니까?,,,문법책-Hornby
135,10105010100,"""Oh, thank you, Doctor!"" she cried gratefully.","오, 의사 선생님, 감사합니다, 하고 그녀는 감사하는 마음으로 소리쳤다.","""gratefully""가 ""cry""를 수식하여 번역이 되었습니까?",,,영어교과서-고교ii-a-1
136,10105010100,He wanted very much to study at Harvard.,그는 하버드에서 공부하고 싶은 마음은 무척 많았다.,"""very much""가 [매우]로 ""want""를 수식하여 번역이 되었습니까?",,,영어교과서-고교ii-a-1
137,10105010100,"In the third stanza, however, the horse acts definitely.",그러나 셋째 연에서는 그 말이 분명하게 행동한다.,"""definitely""가 ""act""를 수식하도록 번역이 되었습니까?",,,영어교과서-고교ii-a-1
138,10105010100,The driver nearly killed me.,운전기사가 나를 거의 죽일 뻔했습니다.,"""nealy""가 [거의 ~뻔 하다]로 번역이 되었습니까?",,,영어교과서-고교ii-a-1
139,10105010100,He protected his family inadequately.,그는 가족을 충분하게는 지키지 못했다.,"""inadequately""가 [충분하게는 ∼하지 않는다]로 번역되었습니까?",,,문법책-Hornby
140,10105010100,I also go to school.,나도 또 학교에 간다.,"""also""가 [나도 또]로, ""I""에 걸리도록 번역되었습니까?",,,문법책-Hornby
141,10105010100,I can only see him in the room.,나는 그 방에서 그를 만날 수 있을 뿐이다.,"""only see""가 [만날 수 있을 뿐이었다]와 같이 ""only""가 ""see""를 수식하도록 번역이 되었습니까?",,,문법책-성문기본
